Year,Country,Harbour,Latitude,Longitude,Weight of waste,,
2014,Belgium,Oostende,51.233333,2.916667,2.0265,,
2014,Belgium,Zeebrugge,51.333333,3.2,2.8225,,
2014,Belgium,Nieuwpoort,51.133333,2.75,0.532,,
2014,Germany,Norddeich,53.628455,7.157936,1.16,,
2014,Germany,Greetsiel,53.6686,7.039318,0.88,,
2014,Germany,Ditzum,53.3178,7.282734,0.18,,
2014,Germany,Neuharlingersiel,53.7038,7.705278,0.16,,
2014,Germany,Dornumersiel,53.682018,7.487097,0.72,,
2014,Germany,Cuxhaven,53.870528,8.712598,0.38,,
2014,Germany,Fedderwardersiel,53.598852,8.356733,0.08,,
2014,Sweden,Traslovslage,57.116667,12.25,0.23,,
,,,,,,,
